,,,,,,,,,,,,,,,,,,,,,,
ID,RELEASE,COUNTRY,QUANTITY,FRANCHISE,CONDITION,YEAR,Bar Code,RARITY,ADD. INFORMATION,,,,ID,RELEASE,COUNTRY,QUANTITY,FRANCHISE,CONDITION,YEAR,Bar Code,RARITY,ADD. INFORMATION
CD-0031,Disney Karaoke Series: Lizzie McGuire,USA,1,Lizzie McGuire,VG,2003,,YES,Missing covers,,,,DVD-0031,Lizzie McGuire,USA,,Lizzie McGuire,NEW,2003,,,
CD-0032,Jump In!,Argentina,1,Jump In!,VG-F,2007,,,,,,,DVD-0032,Phil of The Future,USA,,Phil of The Future,VG+,2005,,,
CD-0033,Camp Rock Collector's Ed. CD + DVD,USA,1,Camp Rock,VG+,2008,,,,,,,DVD-0033,Camp Rock,Argentina,,Camp Rock,Fair,2008,,,
CD-0034,Los Hechiceros de Waverly Place,Argentina,1,Los Hechiceros de Waverly Place,VG,2009,,,,,,,DVD-0034,Camp Rock 2: The Final Jam,Argentina,,Camp Rock,VG,2010,,,One copy missing covers
CD-0035,Sonny With a Chance,USA,1,Sonny With a Chance,VG+,2010,,,,,,,DVD-0035,Jump In! Freestyle Ed.,USA,,Jump In!,VG,2007,,,Includes 1 AD
CD-0036,Disney Channel Hits Take 2 CD + DVD,USA,1,,VG+,2005,,YES,Includes inside AD,,,,DVD-0036,JONAS Con Los Pies en La Tierra Vol 1,Argentina,,JONAS,VG+,,,YES,
CD-0037,Disney Channel Christmas Hits,UK,1,,VG+,2007,,,,,,,DVD-0037,Programa de Protección Para Princesas,Argentina,,,VG+,2009,,YES,
CD-0038,Disney Jams CD + DVD,Argentina,1,,VG+,2009,,YES,,,,,DVD-0038,Cow Belles,USA,,,VG+,2006,,,Includes  Inlay page
CD-0039,Disney Channel Playlist,Argentina,1,,VG+,2009,,,,,,,DVD-0039,Halloweentown REISSUE,USA,,Halloweentown,Fair,2005,,,
CD-0040,La Fabulosa Aventura de Sharpay,Argentina,1,High School Musical,VG,2011,,,,,,,DVD-0040,Even Stevens Movie,USA,,Even Stevens,NEW,2005,,,
CD-0041,Supergirl,Germany,1,Hannah Montana,VG+,2009,,YES,Includes inside AD,,,,DVD-0041,Twitches,USA,,Twitches,VG+,,,,
CD-0042,,,,,,,,,,,,,DVD-0042,Phineas y Ferb,Argentina,,Phineas y Ferb,VG,,,YES,
CD-0043,,,,,,,,,,,,,DVD-0043,Phineas y Ferb,Argentina,,Phineas y Ferb,VG,,,YES,
,,,,,,,,,,,,,DVD-0044,Phineas y Ferb,Argentina,,Phineas y Ferb,VG,,,YES,
,,,,,,,,,,,,,DVD-0045,Disney Channel Holiday,USA,,Various,NEW,2005,,,"Includes 1 AD, Inlay page"
,,,,,,,,,,,,,DVD-0046,Es Tan Hannah Montana En Acción,Argentina,,Various,VG - F,2008,,YES,
,,,,,,,,,,,,,DVD-0047,That's so Suite Life of Hannah Montana,USA,,Various,NEW,2007,,,Includes Inlay page
,,,,,,,,,,,,,DVD-0048,Deseos Indeseados,Argentina,,Various,NEW,2009,,YES,
,,,,,,,,,,,,,DVD-0049,Zack y Cody Gemelos en Acción Al Mando del Tipton,Argentina,,The Suite Life,VG,2008,,SCARCE,Blockbuster Barcode from 2012
,,,,,,,,,,,,,DVD-0050,,,,,,,,,
,,,,,,,,,,,,,DVD-0051,,,,,,,,,
,,,,,,,,,,,,,DVD-0052,,,,,,,,,
,,,,,,,,,,,,,DVD-0053,,,,,,,,,
,,,,,,,,,,,,,DVD-0054,,,,,,,,,
,,,,,,,,,,,,,DVD-0055,,,,,,,,,
,,,,,,,,,,,,,DVD-0056,,,,,,,,,
,,,,,,,,,,,,,DVD-0057,,,,,,,,,
,,,,,,,,,,,,,DVD-0058,,,,,,,,,
,,,,,,,,,,,,,DVD-0059,,,,,,,,,
,,,,,,,,,,,,,DVD-0060,,,,,,,,,
,,,,,,,,,,,,,DVD-0061,,,,,,,,,
